分类: 📡卫视频道, 名称: 山东卫视4K, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 河南卫视, 有效: 5, IPv4: 129, IPv6: 0, 最小延迟: 82 ms, 最高速率: 12.86 M/s, 平均速率: 10.38 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.43, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 5, IPv4: 124, IPv6: 0, 最小延迟: 445 ms, 最高速率: 8.77 M/s, 平均速率: 3.48 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 5, IPv4: 152, IPv6: 0, 最小延迟: 451 ms, 最高速率: 8.77 M/s, 平均速率: 4.80 M/s, 最高分辨率: 3840x2160, 平均帧率: 32.14, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 广东卫视4K, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 广东卫视, 有效: 5, IPv4: 157, IPv6: 0, 最小延迟: 447 ms, 最高速率: 8.77 M/s, 平均速率: 4.52 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 广西卫视, 有效: 5, IPv4: 103, IPv6: 0, 最小延迟: 448 ms, 最高速率: 8.77 M/s, 平均速率: 3.94 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 海南卫视, 有效: 5, IPv4: 98, IPv6: 0, 最小延迟: 80 ms, 最高速率: 11.98 M/s, 平均速率: 8.99 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.71, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 5, IPv4: 121, IPv6: 0, 最小延迟: 455 ms, 最高速率: 8.77 M/s, 平均速率: 3.37 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 四川卫视, 有效: 5, IPv4: 131, IPv6: 0, 最小延迟: 448 ms, 最高速率: 8.77 M/s, 平均速率: 4.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 5, IPv4: 101, IPv6: 0, 最小延迟: 109 ms, 最高速率: 10.91 M/s, 平均速率: 6.06 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.71, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 云南卫视, 有效: 5, IPv4: 98, IPv6: 0, 最小延迟: 87 ms, 最高速率: 11.81 M/s, 平均速率: 6.01 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.86, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 5, IPv4: 49, IPv6: 0, 最小延迟: 484 ms, 最高速率: 6.95 M/s, 平均速率: 4.58 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.78, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 5, IPv4: 87, IPv6: 0, 最小延迟: 40 ms, 最高速率: 11.65 M/s, 平均速率: 5.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 青海卫视, 有效: 5, IPv4: 91, IPv6: 0, 最小延迟: 456 ms, 最高速率: 8.77 M/s, 平均速率: 5.07 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.56, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 5, IPv4: 77, IPv6: 0, 最小延迟: 98 ms, 最高速率: 10.84 M/s, 平均速率: 7.98 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.38, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 5, IPv4: 79, IPv6: 0, 最小延迟: 91 ms, 最高速率: 11.33 M/s, 平均速率: 6.68 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 深圳卫视4K, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 5, IPv4: 123, IPv6: 0, 最小延迟: 418 ms, 最高速率: 8.78 M/s, 平均速率: 4.40 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 5, IPv4: 49, IPv6: 0, 最小延迟: 65 ms, 最高速率: 16.34 M/s, 平均速率: 11.37 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 大湾区卫视, 有效: 5, IPv4: 53, IPv6: 0, 最小延迟: 60 ms, 最高速率: 16.32 M/s, 平均速率: 14.37 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 厦门卫视, 有效: 0, IPv4: 30, IPv6: 0, 最小延迟: 456 ms, 最高速率: 5.78 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 海峡卫视, 有效: 3, IPv4: 21, IPv6: 0, 最小延迟: 4588 ms, 最高速率: 2.18 M/s, 平均速率: 1.46 M/s, 最高分辨率: 1920x1080, 平均帧率: 39.99, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 山东教育卫视, 有效: 2, IPv4: 8, IPv6: 0, 最小延迟: 1089 ms, 最高速率: 0.38 M/s, 平均速率: 0.31 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 延边卫视, 有效: 2, IPv4: 21, IPv6: 0, 最小延迟: 181 ms, 最高速率: 16.37 M/s, 平均速率: 15.62 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 安多卫视, 有效: 0, IPv4: 13, IPv6: 0, 最小延迟: 2968 ms, 最高速率: 1.46 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 康巴卫视, 有效: 0, IPv4: 13, IPv6: 0, 最小延迟: 3264 ms, 最高速率: 1.52 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 兵团卫视, 有效: 5, IPv4: 52, IPv6: 0, 最小延迟: 416 ms, 最高速率: 5.38 M/s, 平均速率: 2.31 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 农林卫视, 有效: 0, IPv4: 16, IPv6: 0, 最小延迟: 392 ms, 最高速率: 1.46 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港·澳·台, 名称: BBC News, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 487 ms, 最高速率: 0.25 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1024x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港·澳·台, 名称: 翡翠台, 有效: 1, IPv4: 17, IPv6: 0, 最小延迟: 90 ms, 最高速率: 45.21 M/s, 平均速率: 0.30 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港·澳·台, 名称: TVB Plus, 有效: 0, IPv4: 14, IPv6: 0, 最小延迟: 287 ms, 最高速率: 37.49 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 20.00, 视频编解码器: h264, 音频编解码器: aac
